Identifier,Remarks,en enu eng enc ena enz eni ens enj enb enl ent enw,default,de,es,ru,ptb pt br,it,tr trk,fr,cs,pl plk
MB_OPT6,,,Blend Mode,Überblendungsmodus,Metodo de Fusión,Режим,Modo de mesclagem,Modalità di Fusione,Karıştırma Modu,Méthode de fusion,Režim míchání,Tryb mieszania
MB_OPT7,,,Samples,Samples,Muestreos,Качество,Amostras,Campioni,Örnekler,Echantillons,Vzorky,Próbki
MB_OPT8,,,Strength,Stärke,Fuerza,Сила,Força,Forza,Kuvvet,Intensité,Síla,Siła
MB_OPT9,,,Recovery,Erholung,Recuperación,Стабилизация,Recuperação,Recupero,İyileşmek,Récupération,Zotavení,Odświeżenie  
MNU_INFO,,,Help & Info,Hilfe & Info,Ayuda e Información,Помощь и Инфо,Ajuda e informações,Aiuto & Guida,Yardım ve Bilgi,Aide & Infos,Pomoc & info,Pomoc i informacje
NOTEOPT,,,NOTE: these settings will be unloaded at exit,HINWEIS: Diese Einstellungen werden beim Beenden verworfen,NOTA: Estas opciones seran descartadas al salir,ПРИМЕЧАНИЕ: при выходе из игры данные настройки будут сброшены,NOTA: estas configurações serão descarregadas ao sair.,NOTA: questi impostazioni non verranno salvate all'uscita,NOT: Bu ayarlar programdan çıkıldığında silinecektir.,NOTE: Ces paramètres seront effacés en quittant.,POZNÁMKA: tato nastavení se ztratí po ukončení hry,UWAGA: te ustawienia zostaną usunięte przy wyjściu
NOTEOPT2,,,NOTE: 1-click settings to adjust details at once,Hinweis: 1-Klick Einstellungen um alle Details auf einmal anzupassen,NOTA:Ajustes de 1 solo clic para ajustar todos los detalles,ПРИМЕЧАНИЕ: одна позиция изменяет сразу несколько настроек,NOTA: Configurações com um clique para ajustar todos os detalhes de uma só vez,NOTA: un solo click per regolare tutti i dettagli in una sola volta,NOT: Tek tıklamayla ayarları değiştirerek tüm detayları anında düzenleyebilirsiniz.,NOTE: Ces paramètres seront effacés en quittant.,POZNÁMKA: nastavení 1-klikem k upravení všech detailů najednou,UWAGA: użyj jednoczesnych ustawień do zmiany wielu parametrów naraz
OPT_BLOOD,,,Blood Settings,Bluteinstellungen,Ajustes de Sangre,Настройки крови,Configurações de sangue,Impostazioni sangue,Kan Ayarları,Paramètres du sang,Nastavení krve,Ustawienia krwi
OPT_CHEAT,,,Cheats Settings,Mogeleinstellungen,Trucos,Настройки читов,Configurações de cheats,Impostazioni trucchi,Hile Ayarları,Paramètres de triche,Nastavení cheatů,Ustawienia kodów
OPT_DEFA,,,Default quality,Standard-Qualität,Calidad por defecto,"Настройки ""по умолчанию""",Qualidade padrão,Qualità Default,Varsayılan kalite,Qualité par défaut,Výchozí kvalita,Jakość domyślna
OPT_DEFAM,,,"\cC3d tree models, special effects, mirrors & reflections ON; particles at default values with droplets ON; rendering at default values; shaders ON; advanced OpenGL options ON but no shadowmaps; normal texture filter ON","\cC3D-Modelle für Bäume, Spezialeffekte, Spiegelungen & Reflexionen AN; Partikeleffekte mit Standardwerten AN; Renderingwerte auf Standard; Shader AN; Erweiterte OpenGL-Optionen AN; Shadowmaps AUS; Normaler Texturfilter AN","\cCModelos 3D de árboles, efectos especiales, espejos y reflejos ACT.; partículas por defecto con gotas ACT.; renderizado por defecto; shaders ACT; opciones avanzadas de OpenGL ACT. pero sin mapas de sombra; filtro normal de texturas ACT.","\cCВключены: 3D-деревья, все спецэффекты, все частицы (со значениями по умолчанию и включая капли), отображение всех объектов с настройками по умолчанию, все шейдеры, зеркала и отражения, большая часть продвинутых настроек OpenGL (кроме теневых карт), нормальная фильтрация текстур","\cCModelos de árvores 3D, efeitos especiais, espelhos e reflexos ATIVADOS; partículas com valores padrão e gotas ATIVADAS; renderização com valores padrão; shaders ATIVADOS; opções avançadas de OpenGL ATIVADAS, mas sem mapas de sombra; filtro de textura normal ATIVADO","\cCModelli alberi 3d, effetti speciali, specchi & riflessi ON; particelle con valori di default con gocce ON; renderizzazione a valori di default; shaders ON; opzioni OpenGL avanzate ON ma senza ombre mappa; filtro texture normale ON","\cC3 boyutlu ağaç modelleri, özel efektler, aynalar ve yansımalar AÇIK; parçacıklar varsayılan değerlerde, damlacıklar AÇIK; işleme varsayılan değerlerde; gölgelendiriciler AÇIK; gelişmiş OpenGL seçenekleri AÇIK ancak gölge haritaları yok; normal doku filtresi AÇIK","\cCArbres en 3D, effets spéciaux de BoA, mirroirs & reflets ON; Particules par défaut de BoA et gouttelettes ON; Rendu de BoA aux valeurs par défaut; Shaders de BoA ON; Options avancées d'OpenGL ON sans Shadowmaps; Filtrage de textures normales ON","\cC3D modely stromů, speciální efekty, zrcadla a odrazy ZAPNUTO; částice s výchozími hodnotami se skvrnami krve  ZAPNUTY; vykreslování s výchozími hodnotami; shadery ZAPNUTO; pokročilé nastavení OpenGL ZAPNUTO ale bez stínových map; filtr normálních textur ZAPNUT","\cCModele drzew 3D, efekty specjalne, lustra i odbicia WŁĄCZONE; cząsteczki o wartościach domyślnych z kroplami WŁĄCZONE; renderowanie przy wartościach domyślnych; shadery WŁĄCZONE; zaawansowane opcje OpenGL WŁĄCZONE, ale bez map cieni; normalny filtr tekstur WŁĄCZONY"
OPT_DEVC,,,Developer Commentary,Kommentare der Entwickler,Comentarios del Desarrollador,Комментарии разработчиков,Comentários do desenvolvedor,Commenti degli Sviluppatori,Geliştirici Yorumu,Commentaires des développeurs,Komentáře vývojářů,Komentarz twórców
OPT_GAME,,,Gameplay Settings,Gameplayeinstellungen,Opciones de Jugabilidad,Настройки игры,Configurações de jogo,Impostazioni di Gioco,Oyun Ayarları,Paramètres de gameplay,Nastavení hratelnosti,Ustawienia rozgrywki
OPT_HI,,,High quality,Hohe Qualität,Calidad Alta,Высокие настройки,Alta qualidade,Qualità Alta,Yüksek kalite,Qualité élevée,Vysoká kvalita,Wysoka jakość
OPT_HIM,,,"\cC3d tree models, special effects, mirrors & reflections ON; particles at high values with droplets ON; rendering at high values; shaders ON; advanced OpenGL options ON; high texture filter ON","\cC3D-Modelle für Bäume, Spezialeffekte, Spiegelungen & Reflexionen AN; Partikeleffekte mit Maximalwerten AN; Renderingwerte auf Maximum; Shader AN; Erweiterte OpenGL-Optionen AN; Shadowmaps AUS; Maximaler Texturfilter AN","\cCModelos 3D de árboles, efectos especiales, espejos y reflejos ACT.; partículas al máximo con gotas ACT.; renderizado al máximo; shaders ACT; opciones avanzadas de OpenGL ACT.; filtro máximo de texturas ACT.","\cCВключены: 3D-деревья, все спецэффекты, все частицы (с высокими настройками и включая капли), отображение всех объектов с высокими настройками, все шейдеры, зеркала и отражения, продвинутые настройки OpenGL, высокий уровень фильтрации текстур.","\cCModelos de árvores 3D, efeitos especiais, espelhos e reflexos ATIVADOS; partículas com valores altos e gotículas ATIVADAS; renderização com valores altos; shaders ATIVADOS; opções avançadas de OpenGL ATIVADAS; filtro de textura de alta qualidade ATIVADO","\cCModelli alberi 3d, effetti speciali, specchi & riflessi ON; particelle a valori elevati con gocce ON; renderizzazione a valori elevati; shaders ON; opzioni OpenGL avanzate ON; filtro texture avanzato ON","\cC3 boyutlu ağaç modelleri, özel efektler, aynalar ve yansımalar AÇIK; damlacıklarla yüksek değerlerde parçacıklar AÇIK; yüksek değerlerde işleme; gölgelendiriciler AÇIK; gelişmiş OpenGL seçenekleri AÇIK; yüksek doku filtresi AÇIK","\cCArbres en 3D, effets spéciaux de BoA, mirroirs & reflets ON; Particules haute définiton de BoA et gouttes ON; Rendu de BoA à des valeurs plus élevées; Shaders de BoA ON; Options avancées d'OpenGL ON sans Shadowmaps; Filtrage de textures élevé ON","\cC3D modely stromů, speciální efekty, zrcadla a odrazy ZAPNUTO; částice s vysokými hodnotami se skvrnami krve ZAPNUTY; vykreslování s vysokými hodnotami; shadery ZAPNUTO; pokročilé nastavení OpenGL ZAPNUTO; filtr textur vysokých kvalit ZAPNUT","\cCModele drzew 3D, efekty specjalne, lustra i odbicia WŁĄCZONE; cząstki o wysokich wartościach z kroplami WŁĄCZONE; renderowanie o wysokich wartościach; shadery WŁĄCZONE; zaawansowane opcje OpenGL WŁĄCZONE; wysokie filtrowanie tekstur WŁĄCZONE"
OPT_LOW,,,Low quality,Niedrige Qualität,Calidad Baja,Низкие настройки,Baixa qualidade,Qualità Bassa,Düşük kalite,Qualité basse,Nízká kvalita,Niska jakość
OPT_LOWM,,"\cC3d tree models, special effects, mirrors & reflections OFF except for leaves; particles at wider values with only gibs ON; rendering at min values; shaders OFF except colourgrading; advanced OpenGL options OFF","\cC3d tree models, special effects, mirrors & reflections OFF except for leaves; particles at wider values with only gibs ON; rendering at min values; shaders OFF except colorgrading; advanced OpenGL options OFF","\cC3D-Modelle für Bäume, Spezialeffekte, Spiegelungen & Reflexionen AUS; Partikeleffekte mit Minimalwerten AN; Renderingwerte auf Minimum; Shader AUS; Erweiterte OpenGL-Optionen AUS; Shadowmaps AUS; Texturfilter AUS","\cCModelos 3D de árboles, efectos especiales, espejos y reflejos DES. excepto por las hojas; partículas a un valor amplio con solo miembros ACT.; renderizado al mínimo; shaders DES. excepto por el grado de color; opciones avanzadas de OpenGL DES.","\cCВыключены: 3D-деревья, все спецэффекты (кроме листьев), шейдеры (кроме изменения цветов), зеркала и отражения, большая часть продвинутых настроек OpenGL; включены все частицы (с увеличенными значениями и включая кровь); отображение всех объектов с минимальными настройками.","\cCModelos de árvores 3D, efeitos especiais, espelhos e reflexos DESATIVADOS, exceto para folhas; partículas com valores mais amplos e apenas partículas menores ATIVADAS; renderização com valores mínimos; shaders DESATIVADOS, exceto correção de cores; opções avançadas do OpenGL DESATIVADAS","\cCModelli alberi 3d, effetti speciali, specchi & riflessi OFF eccetto le foglie; particelle estese con solo resti ON; renderizzazione a valori minimi; shaders OFF eccetto graduazione colori; opzioni OpenGL avanzate OFF","\cC3 boyutlu ağaç modelleri, özel efektler, aynalar ve yansımalar (yapraklar hariç) KAPALI; parçacıklar daha geniş değerlerde, yalnızca küçük parçalar AÇIK; minimum değerlerde işleme; gölgelendiriciler (renk derecelendirme hariç) KAPALI; gelişmiş OpenGL seçenekleri KAPALI","\cCArbres en 3D, effets spéciaux de BoA, mirroirs & reflets OFF à part pour les feuilles d'arbre; Particules avec valeurs plus grandes avec seulement de la viande ON; Rendu de BoA à des valeurs basses; Shaders de BoA OFF; Options avancées d'OpenGL OFF","\cC3D modely stromů, speciální efekty, zrcadla a odrazy VYPNUTO kromě listů; částice s více hodnotami a pouze s pozůstatky vnitřností ZAPNUTY; vykreslování s minimálními hodnotami; shadery VYPNUTO kromě barevné škály; pokročilé nastavení OpenGL VYPNUTO","\cCModele drzew 3D, efekty specjalne, lustra i odbicia WYŁĄCZONE z wyjątkiem liści; cząstki o szerszych wartościach tylko z flakami WŁĄCZONE; renderowanie o minimalnych wartościach; shadery WYŁĄCZONE z wyjątkiem gradacji kolorów; zaawansowane opcje OpenGL WYŁĄCZONE"
OPT_NORM,,,Medium quality,Mittlere Qualität,Calidad Media,Средние настройки,Qualidade média,Qualità Media,Orta kalite,Qualité moyenne,Střední kvalita,Średniej jakości
OPT_NORMM,,"\cC3d tree models, special effects, mirrors & reflections ON except clouds, dust, smoke & steam; particles at normal values with droplets ON; rendering at wider values; shaders OFF except colourgrading; advanced OpenGL options OFF","\cC3d tree models, special effects, mirrors & reflections ON except clouds, dust, smoke & steam; particles at normal values with droplets ON; rendering at wider values; shaders OFF except colorgrading; advanced OpenGL options OFF","\cC3D-Modelle für Bäume, Spezialeffekte, Spiegelungen & Reflexionen AN; Partikeleffekte teilweise AN; Renderingwerte auf Mittel; Shader AUS; Erweiterte OpenGL-Optionen AN; Shadowmaps AUS; Mittlerer Texturfilter AN","\cCModelos 3D de árboles, efectos especiales, espejos y reflejos ACT. excepto por las nubes, polvo, humo y vapor; partículas a un valor normal con gotas ACT.; renderizado amplio; shaders DES. excepto por el grado de color; opciones avanzadas de OpenGL DES.","\cCВключены: 3D-деревья, все спецэффекты (кроме облаков, пыли, дыма и пара), все частицы (с нормальными значениями и включая капли), отображение всех объектов с увеличенными настройками, зеркала и отражения; выключены: все шейдеры (кроме изменения цветов), большая часть продвинутых опций движка из серии gl_options.","\cCModelos de árvores 3D, efeitos especiais, espelhos e reflexos ATIVADOS, exceto nuvens, poeira, fumaça e vapor; partículas com valores normais e gotículas ATIVADAS; renderização com valores mais amplos; shaders DESATIVADOS, exceto correção de cores; opções avançadas de OpenGL DESATIVADAS","\cCModelli alberi 3d, effetti speciali, specchi & riflessi ON eccetto nuvole, polvere, fumo & vapore; particelle a valori normali con gocce ON; renderizzazione a valori estesi; shaders OFF eccetto graduazione colori; opzioni OpenGL avanzate OFF","\cC3 boyutlu ağaç modelleri, özel efektler, aynalar ve yansımalar AÇIK (bulutlar, toz, duman ve buhar hariç); parçacıklar normal değerlerde ve damlacıklar AÇIK; daha geniş değerlerde işleme; gölgelendiriciler KAPALI (renk derecelendirme hariç); gelişmiş OpenGL seçenekleri KAPALI","\cCArbres en 3D, effets spéciaux de BoA, mirroirs & reflets ON à part pour les nuages, la fumée, et la vapeur; Particules avec valeurs normales avec en plus les goutelettes ON; Rendu de BoA à des valeurs plus grandes; Shaders de BoA OFF sauf pour l'étalonnage de couleur; Options avancées d'OpenGL OFF","\cC3D modely stromů, speciální efekty, zrcadla a odrazy ZAPNUTO kromě mraků, prachu, dýmu a páry; částice s normálními hodnotami se skvrnami krve ZAPNUTY; vykreslování s více hodnotami; shadery VYPNUTO kromě barevné škály; pokročilé nastavení OpenGL VYPNUTO","\cCModele drzew 3D, efekty specjalne, lustra i odbicia włączone z wyjątkiem chmur, kurzu, dymu i pary; cząstki o normalnych wartościach z kroplami WŁĄCZONYMI; renderowanie przy szerszych wartościach; shadery WYŁĄCZONE z wyjątkiem gradacji kolorów; zaawansowane opcje OpenGL WYŁĄCZONE"
OPT_PROC,,,Post Process Options,Postprozessor-Einstellungen,Opciones de Post-Procesamiento,Настройки постобработки,Opções de pós-processamento,Opzioni Post Processing,İşlem Sonrası Seçenekler,Options de Post-Processing,Nastavení post-procesu,Opcje postprocesowania
OPT_REND,,,Rendering Settings,Rendereinstellungen,Opciones de Renderizado,Настройки отрисовки,Configurações de renderização,Settaggi di Renderizzazione,Görüntüleme Ayarları,Paramètres de rendu,Nastavení vykreslování,Ustawienia renderowania
OPT_SFX,,,Effect Settings,Effekteinstellungen,Opciones  de Efectos,Настройки эффектов,Configurações de efeito,Impostazioni Effetti,Efekt Ayarları,Paramètres des effets,Nastavení efektů,Ustawienia efektów
OPT_VHI,,,Maximum quality,Maximale Qualität,Calidad Máxima,Максимальные настройки,Qualidade máxima,Qualità Massima,Maksimum kalite,Qualité maximale,Maximální kvalita,Najwyższa jakość
OPT_VHIM,,,"\cC3d trees, special effects, mirrors & reflections ON; particles at highest values with droplets ON; rendering at highest values; shaders ON; advanced OpenGL options ON; highest texture filter ON","\cC3D-Modelle für Bäume, Spezialeffekte, Spiegelungen & Reflektionen AN; Partikeleffekte mit Maximalwerten AN; Renderingwerte auf Maximum; Shader AN; Erweiterte OpenGL-Optionen AN; Shadowmaps AN; Maximale Texturenfilter AN","\cCÁrboles 3D, Efectos especiales de BoA, espejos y reflejos ACT.; Partículas de BoA al máximo con gotas ACT.; Renderizado de BoA al máximo; Shaders de BoA ACT.; Opciones avanzadas de OpenGL ACT.; Filtro de texturas al máximo ACT.","\cCВсё включено (3D-деревья, спецэффекты, частицы, объекты, шейдеры, зеркала, отражения, продвинутые настройки OpenGL, фильтрация); максимальные настройки.","Árvores 3D, efeitos especiais, espelhos e reflexos ATIVADOS; partículas com valores máximos e gotas ATIVADAS; renderização com valores máximos; shaders ATIVADOS; opções avançadas de OpenGL ATIVADAS; filtro de textura máximo ATIVADO","\cCAlberi 3d, effetti speciali, specchi & riflessi ON; particelle a valori massimi con gocce ON; renderizzazione a valori massimi; shaders ON; opzioni OpenGL avanzate ON; Filtro texture al massimo ON","\cC3 boyutlu ağaçlar, özel efektler, aynalar ve yansımalar AÇIK; damlacıklarla birlikte parçacıklar en yüksek değerlerde AÇIK; işleme en yüksek değerlerde; gölgelendiriciler AÇIK; gelişmiş OpenGL seçenekleri AÇIK; en yüksek doku filtresi AÇIK","\cCArbres en 3D, effets spéciaux de BoA, mirroirs & reflets ON; Particules avec valeurs max avec en plus les goutelettes ON; Rendu de BoA à des valeurs max; Shaders de BoA ON; Options avancées d'OpenGL OFF; Filtrage de textures au max","\cC3D modely stromů, speciální efekty, zrcadla a odrazy ZAPNUTO; částice s nejvyššími hodnotami se skvrnami krve ZAPNUTY; vykreslování s nejvyššími hodnotami; shadery ZAPNUTO; pokročilé nastavení OpenGL ZAPNUTO; filtr textur nejvyšších kvalit ZAPNUT","\cCDrzewa 3D, efekty specjalne, lustra i odbicia włączone; cząstki przy najwyższych wartościach przy włączonych kroplach; renderowanie przy najwyższych wartościach; shadery włączone; zaawansowane opcje OpenGL włączone; najwyższy filtr tekstur włączony"
